             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 8 (San Marcial to Elephant Butte)     

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):     9026.1 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2018   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2018 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  June  3  *  206.5         0.0         53.0       153.5       0.0    27.0      179.6       227.8        229.7           39937.5
  June  2  *  242.9         0.0         61.4       181.5       0.0     0.0      242.9       237.8        234.2           39581.9
  June  1  *  243.8         0.0         61.4       182.4       0.0     0.0      243.8       233.0        231.0           39101.0
  May  31  *  238.5         0.0         59.7       178.7       0.0     0.0      238.5       229.9        227.2           38618.3
  May  30  *  234.4         0.0         59.2       175.2       0.0     0.0      234.4       230.9        218.5           38146.1
  May  29  *  229.4         0.0         57.9       171.4       0.0     0.0      229.4       231.5        216.8           37682.0
  May  28  *  218.9         0.0         56.2       162.7       0.0     0.0      218.9       230.6        214.7           37227.9
  May  27  *  228.6         0.0         56.4       172.2       0.0     0.0      228.6       229.1        213.9           36794.4
  May  26  *  243.4         0.0         61.3       182.1       0.0     0.0      243.4       224.4        214.9           36341.9
  May  25  *  237.4         0.0         59.6       177.8       0.0     0.0      237.4       206.1        214.3           35860.0
  May  24  *  225.0         0.0         56.2       168.7       0.0     0.0      225.0       202.1        212.5           35390.0
  May  23  *  211.1         0.0         51.5       159.6       0.0     0.0      211.1       198.7        212.0           34944.5
  May  22  *  205.1         0.0         49.8       155.3       0.0     0.0      205.1       198.7        212.3           34526.5
  May  21  *  180.1         0.0         43.2       136.8       0.0    27.9      152.1       205.5        213.7           34120.3
  May  20  *  217.0         0.0         51.5       165.5       0.0     0.0      217.0       222.5        221.8           33819.1
  May  19  *  208.1         0.0         51.5       156.6       0.0     0.0      208.1       222.8        225.8           33389.5
  May  18  *  211.4         0.0         49.9       161.5       0.0     0.0      211.4       225.2        230.3           32977.4
  May  17  *  238.8         0.0         57.9       180.9       0.0     0.0      238.8       225.8        233.3           32558.9
  May  16  *  237.4         0.0         56.5       180.9       0.0     0.0      237.4       221.9        231.9           32086.1
