             ET TOOLBOX REACH SUMMARY

"      Summary for: URGWOM Reach 5 (Isleta to Bosque, NM gage)         "

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    26795.4 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2018   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2018 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  June  7  *  349.3       249.3         68.7        31.3       0.0     0.0      349.3       163.6        252.6           37600.6
  June  6  *  340.3       242.5         67.5        30.3       0.0    52.1      288.2       164.1        249.1           36909.1
  June  5  *  352.5       251.1         69.5        31.9       0.0     0.0      352.5       176.7        252.7           36338.4
  June  4  *  340.5       241.7         67.7        31.1       0.0     0.0      340.5       174.1        250.7           35640.4
  June  3  *  308.2       221.2         59.5        27.6       0.0   820.7     -512.5       173.5        250.2           34966.1
  June  2  *  351.7       250.2         69.5        31.9       0.0     0.0      351.7       341.6        333.7           35980.9
  June  1  *  351.3       249.9         69.5        31.9       0.0     0.0      351.3       334.2        329.5           35284.5
  May  31  *  339.3       240.5         67.7        31.1       0.0     0.0      339.3       328.7        323.8           34588.9
  May  30  *  337.7       239.9         67.0        30.8       0.0     0.0      337.7       327.4        277.8           33917.0
  May  29  *  327.8       233.2         64.7        29.8       0.0     0.0      327.8       326.9        271.8           33248.3
  May  28  *  314.7       224.5         61.7        28.5       0.0     0.0      314.7       325.8        269.1           32599.4
  May  27  *  323.7       230.2         64.0        29.5       0.0     0.0      323.7       324.8        267.0           31976.2
  May  26  *  332.9       236.1         66.2        30.6       0.0     0.0      332.9       318.9        267.9           31335.2
  May  25  *  335.4       237.8         66.6        30.9       0.0     0.0      335.4       228.2        266.3           30676.0
  May  24  *  322.5       229.0         64.0        29.5       0.0     0.0      322.5       216.7        263.2           30011.9
  May  23  *  309.5       220.4         60.4        28.7       0.0     0.0      309.5       212.4        260.7           29373.5
  May  22  *  294.2       209.1         57.7        27.4       0.0     0.0      294.2       209.2        259.1           28760.6
  May  21  *  266.5       189.4         52.4        24.7       0.0   387.2     -120.7       216.8        259.4           28178.1
  May  20  *  278.1       196.9         55.3        25.8       0.0     0.0      278.1       304.4        304.0           28417.0
  May  19  *  300.8       213.3         59.2        28.2       0.0     0.0      300.8       309.7        309.8           27866.4
  May  18  *  293.4       208.0         57.7        27.6       0.0     0.0      293.4       309.1        313.1           27270.8
  May  17  *  332.7       235.5         66.0        31.1       0.0     0.0      332.7       309.1        316.4           26689.9
  May  16  *  316.9       224.5         62.7        29.8       0.0     0.0      316.9       301.9        314.0           26031.3
  May  15  *  304.8       215.3         60.7        28.8       0.0     0.0      304.8       303.6        312.1           25403.8
  May  14  *  297.8       211.2         58.2        28.4       0.0     0.2      297.7       310.0        307.9           24800.3
  May  13  *  293.4       207.9         57.7        27.7       0.0     0.0      293.4       317.1        302.4           24210.9
